m,us/ft,gAPI,m3/m3,mD,m3/m3,g/cm3,V/V
4860,61.802898407,155.210495,0.0684999973,-9999,0.0848999992,2.4277000427,0.0292000007
4860.1,61.869499207,154.3717041,0.0676999986,-9999,0.0806999952,2.4331998825,0.036733333
4860.2,61.901199341,154.53819275,0.0671999976,-9999,0.0775666609,2.4395999908,0.0441666655
4860.3,61.943000793,154.77960205,0.0681999996,-9999,0.0754999965,2.4453999996,0.0515000001
4860.4,61.988201141,154.68370056,0.0703999996,-9999,0.0713,2.4507000446,0.0730333328
4860.5,62.033798218,154.83569336,0.0732999966,-9999,0.0680333376,2.4567000866,0.0904333368
4860.6,62.051101685,156.42359924,0.0763999969,-9999,0.065700002,2.4637999535,0.1036999971
4860.7,61.936401367,159.7263031,0.0791999996,-9999,0.0621000007,2.470400095,0.1256333292
4860.8,61.713100433,164.28430176,0.0819000006,-9999,0.0602333322,2.4744999409,0.1391333342
4860.9,61.583999634,168.93699646,0.0839999989,-9999,0.0601000004,2.4748001099,0.1441999972
4861,61.511699677,172.6566925,0.0851999968,-9999,0.0616333336,2.4728000164,0.1424666643
4861.1,61.497299194,175.16610718,0.0851999968,-9999,0.0630333349,2.469700098,0.1384666711
4861.2,61.642700195,176.14990234,0.0839999989,-9999,0.0643000007,2.4656999111,0.1322000027
4861.3,61.765300751,175.45480347,0.0819000006,-9999,0.0676333383,2.4609999657,0.1124666706
4861.4,61.854301453,172.769104,0.0791999996,-9999,0.0701666698,2.4556999207,0.0969333351
4861.5,61.945201874,168.28729248,0.0760999992,-9999,0.0719000027,2.450799942,0.0856000036
4861.6,62.003501892,163.44960022,0.0733999982,-9999,0.0728333294,2.4481999874,0.0736000016
4861.7,62.012798309,159.74549866,0.0715999976,-9999,0.0726333335,2.448800087,0.0683000013
4861.8,62.019798279,158.2519989,0.0707999989,-9999,0.0713,2.4525001049,0.0697000027
4861.9,62.02519989,158.34950256,0.0705000013,-9999,0.0688999966,2.4570999146,0.0748333335
4862,62.027999878,158.32330322,0.0702999979,-9999,0.0681333318,2.4595999718,0.0757666677
4862.1,61.961101532,156.71569824,0.0698999986,-9999,0.0689999983,2.4568998814,0.0724999979
4862.2,61.891101837,153.0993042,0.0688000023,-9999,0.076866664,2.4479000568,0.0474333316
4862.3,61.847198486,148.61230469,0.0671999976,-9999,0.0833999962,2.4354000092,0.0271999985
4862.4,61.86869812,144.45489502,0.0653999969,-9999,0.0886000022,2.4224998951,0.0118000004
4862.5,61.904499054,141.73210144,0.0639000013,-9999,0.0932666659,2.4133999348,0.0039333333
4862.6,61.928798676,140.16690063,0.0625,-9999,0.0951333344,2.4100000858,0
4862.7,61.883899689,139.26919556,0.0610000007,-9999,0.0942000002,2.4133000374,0
4862.8,61.797901154,138.76359558,0.059700001,-9999,0.0859333351,2.4237999916,0.0066
4862.9,61.651699066,138.92329407,0.0590000004,-9999,0.0791666657,2.4377000332,0.0163000003
4863,61.531398773,140.3789978,0.0593999997,-9999,0.0738999993,2.4512000084,0.0291000009
